City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
157,Saint George,US,2021-12-28 17:36:10,37.1041,-113.5841,43.43,62,90,1.01
158,Boende,CD,2021-12-28 17:38:15,-0.2167,20.8667,69.78,93,95,1.41
159,Lac Du Bonnet,CA,2021-12-28 17:38:16,50.2536,-96.0612,3.15,88,100,1.83
160,Los Llanos De Aridane,ES,2021-12-28 17:38:16,28.6585,-17.9182,65.95,93,75,1.99
161,Dingle,PH,2021-12-28 17:38:16,10.9995,122.6711,74.17,89,87,12.24
162,Lypnyazhka,UA,2021-12-28 17:38:17,48.4469,31.0761,20.05,93,100,11.1
163,Mahebourg,MU,2021-12-28 17:38:17,-20.4081,57.7,78.26,88,40,16.11
164,Lamar,US,2021-12-28 17:38:18,33.6668,-95.5836,75.36,73,75,19.57
165,Muisne,EC,2021-12-28 17:38:18,0.6,-80.0333,82.51,84,100,12.1
166,Vestmanna,FO,2021-12-28 17:38:19,62.1564,-7.1664,40.12,93,90,6.91
167,Guerrero Negro,MX,2021-12-28 17:38:19,27.9769,-114.0611,61.9,53,92,15.55
168,Chernogorsk,RU,2021-12-28 17:38:19,53.8236,91.2842,-0.83,85,40,2.24
169,Parrita,CR,2021-12-28 17:38:20,9.5201,-84.3225,93.99,64,19,6.6
170,Muswellbrook,AU,2021-12-28 17:38:20,-32.2667,150.9,59.32,94,83,3.53
171,Sinnamary,GF,2021-12-28 17:38:20,5.3833,-52.95,80.82,81,63,9.04
172,Ndele,CF,2021-12-28 17:38:21,8.4109,20.6473,82.53,25,61,4.34
173,Markova,UA,2021-12-28 17:38:21,48.6758,24.4138,15.39,98,95,3.6
174,Flin Flon,CA,2021-12-28 17:38:21,54.7682,-101.865,-22.16,69,40,2.3
175,Zyryanka,RU,2021-12-28 17:38:22,65.75,150.85,-29.38,97,100,12.97
176,Shelbyville,US,2021-12-28 17:34:39,35.4834,-86.4603,69.48,43,75,3.0
177,Paamiut,GL,2021-12-28 17:38:22,61.994,-49.6678,14.94,68,0,6.15
178,Palampur,IN,2021-12-28 17:38:22,32.1167,76.5333,38.79,52,39,7.58
179,Havre-Saint-Pierre,CA,2021-12-28 17:38:23,50.2334,-63.5986,32.59,80,90,8.05
180,Yushala,RU,2021-12-28 17:38:23,57.0761,64.2601,-4.0,92,14,7.52
181,Victoria Point,AU,2021-12-28 17:38:23,-27.5833,153.3,69.48,84,89,3.0
182,Alice Springs,AU,2021-12-28 17:38:24,-23.7,133.8833,62.15,31,1,4.61
183,Redding,US,2021-12-28 17:33:35,40.5865,-122.3917,37.2,88,90,1.01
184,Chernyshevskiy,RU,2021-12-28 17:38:24,63.0128,112.4714,-22.02,100,100,3.38
185,Sioux Lookout,CA,2021-12-28 17:38:24,50.1001,-91.917,7.18,85,75,5.75
186,Conchas,BR,2021-12-28 17:38:25,-23.0153,-48.0106,81.66,50,85,4.45
187,Chicama,PE,2021-12-28 17:39:25,-7.8447,-79.1469,66.74,62,97,10.8
188,Lantawan,PH,2021-12-28 17:39:25,10.6167,123.9833,73.09,91,88,10.87
189,Ambilobe,MG,2021-12-28 17:39:26,-13.2,49.05,77.76,86,81,1.88
190,George,ZA,2021-12-28 17:39:26,-33.963,22.4617,63.95,77,75,2.3
191,Kondagaon,IN,2021-12-28 17:39:26,19.6,81.6667,62.29,72,34,5.12
192,Konstantinovka,RU,2021-12-28 17:39:27,49.6167,127.9833,-26.88,100,67,2.95
193,Babati,TZ,2021-12-28 17:39:27,-4.2167,35.75,64.63,86,80,2.89
194,Touros,BR,2021-12-28 17:39:28,-5.1989,-35.4608,88.7,67,59,15.12
195,Mitu,CO,2021-12-28 17:39:28,1.1983,-70.1733,91.2,45,81,5.46
196,Batticaloa,LK,2021-12-28 17:39:29,7.7102,81.6924,78.01,77,10,10.13
197,Vesoul,FR,2021-12-28 17:39:29,47.5833,5.8333,52.66,84,95,15.68
198,Kapaa,US,2021-12-28 17:36:51,22.0752,-159.319,75.52,76,75,1.99
199,Cam Ranh,VN,2021-12-28 17:39:30,11.9214,109.1591,73.36,94,75,18.41
200,Camara De Lobos,PT,2021-12-28 17:39:30,32.6333,-16.9667,68.0,92,75,10.36
201,Taoudenni,ML,2021-12-28 17:39:30,22.6783,-3.9836,74.66,17,15,11.07
202,Whitianga,NZ,2021-12-28 17:39:31,-36.8333,175.7,63.01,90,100,7.47
203,Ahipara,NZ,2021-12-28 17:39:31,-35.1667,173.1667,63.48,88,98,16.62
204,Alofi,NU,2021-12-28 17:39:31,-19.0595,-169.9187,69.69,100,99,1.14
205,Norman Wells,CA,2021-12-28 17:39:32,65.282,-126.8329,-20.16,76,20,5.75
206,Bambous Virieux,MU,2021-12-28 17:39:32,-20.3428,57.7575,78.22,88,40,16.11
207,Port Hardy,CA,2021-12-28 17:39:32,50.6996,-127.4199,28.4,86,90,5.75
208,Ilulissat,GL,2021-12-28 17:39:33,69.2167,-51.1,-2.79,72,23,5.61
209,Sao Filipe,CV,2021-12-28 17:39:33,14.8961,-24.4956,77.22,62,2,10.11
210,Wukari,NG,2021-12-28 17:39:33,7.85,9.7833,82.17,18,74,5.44
211,Kaabong,UG,2021-12-28 17:39:34,3.4836,34.1492,71.69,49,100,10.89
212,Wald-Michelbach,DE,2021-12-28 17:39:34,49.57,8.8317,46.62,88,89,14.14
213,Otukpo,NG,2021-12-28 17:39:34,7.1913,8.1329,85.14,17,70,4.94
214,Mastic Beach,US,2021-12-28 17:39:35,40.7668,-72.8521,49.01,71,1,5.01
215,Saint-Gaudens,FR,2021-12-28 17:39:35,43.0833,0.6667,59.13,85,100,6.35
216,Ornskoldsvik,SE,2021-12-28 17:39:35,63.2909,18.7153,31.15,86,90,9.22
217,Igede,NG,2021-12-28 17:39:36,10.0544,5.9416,83.5,18,55,4.5
218,Loubomo,CG,2021-12-28 17:39:36,-4.1997,12.6739,74.14,91,100,2.15
219,Curaca,BR,2021-12-28 17:39:37,-8.9903,-39.9094,88.92,42,95,10.74
220,Hayvoron,UA,2021-12-28 17:39:37,48.3396,29.8679,17.53,93,96,8.21
221,Chokurdakh,RU,2021-12-28 17:39:37,70.6333,147.9167,-45.6,100,73,2.98
222,Khatanga,RU,2021-12-28 17:39:38,71.9667,102.5,-16.22,92,8,7.29
223,Zapolyarnyy,RU,2021-12-28 17:39:38,69.4154,30.8136,-8.32,100,100,6.13
224,Tselinnoye,RU,2021-12-28 17:39:38,53.0833,85.6667,15.19,93,100,5.28
225,Quatre Cocos,MU,2021-12-28 17:39:39,-20.2078,57.7625,78.1,78,100,14.65
226,Kedrovyy,RU,2021-12-28 17:39:39,56.1667,91.8167,5.41,96,100,4.34
227,Crestview,US,2021-12-28 17:39:40,30.7621,-86.5705,79.16,75,75,5.99
228,Tomatlan,MX,2021-12-28 17:39:40,19.9333,-105.25,85.53,51,83,3.71
229,Rairangpur,IN,2021-12-28 17:39:40,22.2676,86.1751,63.88,82,49,5.03
230,Layou,VC,2021-12-28 17:39:41,13.2,-61.2667,81.88,69,20,12.66
231,Walvis Bay,NA,2021-12-28 17:40:41,-22.9575,14.5053,70.75,64,5,18.41
232,Mandalgovi,MN,2021-12-28 17:40:41,45.7625,106.2708,8.73,46,23,7.72
233,San Patricio,US,2021-12-28 17:40:42,28.017,-97.5169,81.01,57,39,13.56
234,Kurumkan,RU,2021-12-28 17:40:42,54.3,110.3,-8.48,93,71,4.14
235,Cayenne,GF,2021-12-28 17:40:42,4.9333,-52.3333,84.24,83,75,5.99
236,Farafenni,GM,2021-12-28 17:40:43,13.5667,-15.6,96.04,10,0,7.56
237,Makakilo City,US,2021-12-28 17:40:43,21.3469,-158.0858,72.01,73,1,4.61
238,Slave Lake,CA,2021-12-28 17:36:05,55.2834,-114.769,-16.62,76,90,13.8
239,Amahai,ID,2021-12-28 17:40:43,-3.3333,128.9167,76.75,83,100,7.94
240,Noumea,NC,2021-12-28 17:40:24,-22.2763,166.4572,81.0,99,96,2.93
241,Nemuro,JP,2021-12-28 17:40:44,43.3236,145.575,23.38,60,24,15.61
242,Longyearbyen,SJ,2021-12-28 17:40:44,78.2186,15.6401,6.64,66,0,11.5
243,Atambua,ID,2021-12-28 17:40:45,-9.1061,124.8925,74.91,90,100,1.3
244,Ribeira Grande,PT,2021-12-28 17:40:45,38.5167,-28.7,66.6,82,75,28.77
245,High Level,CA,2021-12-28 17:40:46,58.5169,-117.136,-14.69,76,75,11.5
246,North Bend,US,2021-12-28 17:40:46,43.4065,-124.2243,38.91,99,75,5.75
247,Iqaluit,CA,2021-12-28 17:40:47,63.7506,-68.5145,11.93,72,90,4.0
248,Bubaque,GW,2021-12-28 17:40:47,11.2833,-15.8333,80.67,68,37,13.73
249,Kulhudhuffushi,MV,2021-12-28 17:40:47,6.6221,73.07,80.85,68,57,12.15
250,Torbay,CA,2021-12-28 17:40:48,47.6666,-52.7314,33.76,91,90,20.71
251,Lalibela,ET,2021-12-28 17:40:48,12.0333,39.0333,61.43,53,24,8.1
252,Vao,NC,2021-12-28 17:40:48,-22.6667,167.4833,77.95,83,75,7.74
253,Rawson,AR,2021-12-28 17:40:49,-43.3002,-65.1023,79.07,27,78,8.05
254,Placido De Castro,BR,2021-12-28 17:40:49,-10.3353,-67.1856,79.99,92,100,3.24
255,Codrington,AU,2021-12-28 17:40:50,-38.2667,141.9667,48.2,94,2,7.14
256,Misratah,LY,2021-12-28 17:40:50,32.3754,15.0925,63.99,72,20,19.95
257,Mackay,AU,2021-12-28 17:40:51,-21.15,149.2,78.78,83,75,17.27
258,Flinders,AU,2021-12-28 17:40:51,-34.5833,150.8552,61.21,82,36,1.99
259,Babstovo,RU,2021-12-28 17:40:51,48.1167,132.4833,-0.85,98,100,3.04
260,Zhigansk,RU,2021-12-28 17:40:52,66.7697,123.3711,-27.38,99,10,5.91
261,Klaksvik,FO,2021-12-28 17:40:52,62.2266,-6.589,41.92,74,76,3.69
262,Taltal,CL,2021-12-28 17:40:53,-25.4,-70.4833,70.3,70,6,8.3
263,The Pas,CA,2021-12-28 17:40:53,53.8251,-101.2541,-20.18,76,1,2.3
264,Trail,CA,2021-12-28 17:40:53,49.0998,-117.7022,11.98,90,97,1.88
265,Paka,MY,2021-12-28 17:40:54,4.6374,103.4368,76.98,94,99,0.0
266,Halifax,CA,2021-12-28 17:37:04,44.6453,-63.5724,37.29,76,97,1.99
267,Hami,CN,2021-12-28 17:40:54,42.8,93.45,19.67,34,15,4.65
268,Povenets,RU,2021-12-28 17:40:55,62.8487,34.8262,11.62,96,90,3.98
269,Salamiyah,SY,2021-12-28 17:40:55,35.0113,37.0532,47.16,59,100,4.68
270,Pyinmana,MM,2021-12-28 17:38:29,19.7333,96.2167,62.33,76,0,3.6
271,Luderitz,NA,2021-12-28 17:40:56,-26.6481,15.1594,66.47,75,24,14.03
272,Husavik,IS,2021-12-28 17:40:56,66.0449,-17.3389,30.11,91,100,25.55
273,Sangar,RU,2021-12-28 17:40:56,63.9242,127.4739,-53.66,99,50,1.99
274,Komsomolskiy,UZ,2021-12-28 17:40:57,40.4272,71.7189,29.62,80,0,4.61
275,Inhambane,MZ,2021-12-28 17:41:57,-23.865,35.3833,82.38,94,40,13.8
276,Saint-Joseph,RE,2021-12-28 17:41:57,-21.3667,55.6167,75.58,82,91,15.52
277,Katangli,RU,2021-12-28 17:41:58,51.7102,143.2326,-19.82,96,54,9.22
278,Tucuman,AR,2021-12-28 17:39:28,-26.8241,-65.2226,71.6,88,75,5.75
